"","Gauge_start","Gauge_end","SegLgM","SlopeMm","Seg"
"1","AGDF","MMDF",15732.32,2e-04,"AGDF___MMDF"
"2","BRFL","BRHB",10351.3,0.0012,"BRFL___BRHB"
"3","BRDP","AGDF",43248.3,4e-04,"BRDP___AGDF"
"4","BROT","BRDP",26112.94,3e-04,"BROT___BRDP"
"5","BRHB","BRGB",28206.57,3e-04,"BRHB___BRGB"
"6","BRBR","BRFL",18524.8,5e-04,"BRBR___BRFL"
"7","BRGB","BROT",15660.65,7e-04,"BRGB___BROT"
"8","LFR","AGDF",12038.83,1e-04,"LFR___AGDF"
"9","MMDF","MMWV",63246,3e-04,"MMDF___MMWV"
"10","PC","MMDF",35333.097,4e-04,"PC___MMDF"
"11","PR","BRBR",7921.07,9e-04,"PR___BRBR"
"12","STF","MMWV",38715.53,6e-04,"STF___MMWV"
"13","UTLC","MMDF",51221.81,7e-04,"UTLC___MMDF"
"14","WC","STF",17977.07,6e-04,"WC___STF"
